,show_id,type,title,cast,release_year,rating,duration,listed_in,new_country,first_cast,main_listed_in
7227,s7228,Movie,Triple 9,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul, Clifton Collins Jr., Norman Reedus, Woody Harrelson, Kate Winslet, Teresa Palmer, Michael Kenneth Williams, Gal Gadot",2016,R,115 min,"Dramas, Thrillers",United States,Casey Affleck,Dramas
7228,s7229,Movie,Triple Frontier,"Ben Affleck, Oscar Isaac, Charlie Hunnam, Pedro Pascal, Garrett Hedlund, Adria Arjona",2019,R,126 min,Action & Adventure,United States,Ben Affleck,Action & Adventure
7229,s7230,Movie,Triple Threat,"Tony Jaa, Iko Uwais, Tiger Chen, Scott Adkins, Celina Jade, Michael Bisping, Michael Jai White, JeeJa Yanin, Dominiquie Vandenberg",2019,R,96 min,"Action & Adventure, International Movies",Thailand,Tony Jaa,Action & Adventure
7230,s7231,Movie,Triumph of the Heart,"Mario Van Peebles, Susan Ruttan, Lane R. Davis, Lynn Whitfield, Adam Faraizl, Polly Holliday, Jay Pennison, John Schuhmacher",1991,TV-PG,93 min,"Dramas, Sports Movies",United States,Mario Van Peebles,Dramas
7231,s7232,Movie,Trixie Mattel: Moving Parts,Brian Firkus,2019,TV-MA,91 min,"Documentaries, Music & Musicals",United States,Brian Firkus,Documentaries
7232,s7233,TV Show,Trollhunters,"Kelsey Grammer, Anton Yelchin, Charlie Saxton, Lexi Medrano, Fred Tatasciore, Clancy Brown, Mark Hamill, Ron Perlman, Steven Yeun, Amy Landecker, Jonathan Hyde, Anjelica Huston, Lena Headey, David Bradley, Tom Kenny, Laraine Newman, Grey Griffin, James Purefoy",2018,TV-Y7,3 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",United States,Kelsey Grammer,Kids' TV
7233,s7234,Movie,Trolls Holiday Special,"Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse, James Corden, Ron Funches, Kunal Nayyar, Aino Jawo, Caroline Hjelt, Walt Dohrn",2017,TV-Y7,27 min,"Children & Family Movies, Comedies, Music & Musicals",United States,Anna Kendrick,Children & Family Movies
7234,s7235,TV Show,Trolls: The Beat Goes On!,"Amanda Leighton, Skylar Astin, Ron Funches, David Fynn, David Koechner, David Kaye, Sean T. Krishnan, Sam Lerner, Patrick Pinney, Kevin Michael Richardson, Kari Wahlgren, Fryda Wolff",2019,TV-Y7,8 Seasons,"Kids' TV, TV Comedies",United States,Amanda Leighton,Kids' TV
7237,s7238,TV Show,Trotsky,"Konstantin Khabenskiy, Olga Sutulova, Max Matveev, Evgeniy Stychkin, Orkhan Abulov",2017,TV-MA,1 Season,"International TV Shows, TV Dramas",Russia,Konstantin Khabenskiy,International TV Shows
7238,s7239,TV Show,Troy,"Louis Hunter, Bella Dayne, Frances O'Connor, David Threlfall, Chloe Pirrie, Tom Weston-Jones, Alfred Enoch, Jonas Armstrong",2018,TV-MA,1 Season,"British TV Shows, International TV Shows, Romantic TV Shows",United Kingdom,Louis Hunter,British TV Shows
7239,s7240,Movie,Troy: The Odyssey,"Dylan Vox, Lara Heller, Hachem Hicham, David Gray, Kelly B. Jones, Daniel Whyte, Eoin O'Brien, Ego Mikitas",2017,TV-MA,90 min,Action & Adventure,United States,Dylan Vox,Action & Adventure
7240,s7241,Movie,Truckbhar Swapna,"Makrand Deshpande, Kranti Redkar, Mukesh Rishi, Manoj Joshi, Smita Tambe, Aaditi Pohankar, Sahil Gilbile, Jyoti Joshi",2018,TV-14,128 min,"Comedies, Dramas, International Movies",India,Makrand Deshpande,Comedies
7241,s7242,TV Show,True and the Rainbow Kingdom,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson",2019,TV-Y,3 Seasons,Kids' TV,United States,Michela Luci,Kids' TV
7242,s7243,Movie,True Grit,"John Wayne, Glen Campbell, Kim Darby, Jeremy Slate, Robert Duvall, Dennis Hopper, Alfred Ryder, Strother Martin, Jeff Corey",1969,G,128 min,"Classic Movies, Dramas",United States,John Wayne,Classic Movies
7243,s7244,Movie,True Memoirs of an International Assassin,"Kevin James, Andy Garcia, Zulay Henao, Maurice Compte, Kelen Coleman, Andrew Howard, Rob Riggle, Leonard Earl Howze, Yul Vazquez, Kim Coates, Daniel Zacapa, Ron Rifkin, Jeff Chase",2016,TV-14,98 min,"Action & Adventure, Comedies",United States,Kevin James,Action & Adventure
7244,s7245,Movie,True to the Game,"Columbus Short, Erica Peeples, Vivica A. Fox, Andra Fuller, Jamaar Simon, Starletta DuPois, Nelsan Ellis, Draya Michele, Nafessa Williams, Jennifer Freeman, Lisa Renee Pitts",2017,R,108 min,Dramas,United States,Columbus Short,Dramas
7245,s7246,TV Show,True Tunes,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux",2019,TV-Y,1 Season,Kids' TV,United States,Michela Luci,Kids' TV
7246,s7247,Movie,True: Friendship Day,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",2020,TV-Y,24 min,Children & Family Movies,Canada,Michela Luci,Children & Family Movies
7247,s7248,Movie,True: Grabbleapple Harvest,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",2019,TV-Y,24 min,Children & Family Movies,Canada,Michela Luci,Children & Family Movies
7248,s7249,Movie,True: Happy Hearts Day,"Michela Luci, Jamie Watson, Eric Peterson, Cory Doran, Nicolas Aqui",2019,TV-Y,24 min,Children & Family Movies,United States,Michela Luci,Children & Family Movies
7249,s7250,TV Show,True: Magical Friends,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson",2018,TV-Y,1 Season,Kids' TV,United States,Michela Luci,Kids' TV
7250,s7251,Movie,True: Rainbow Rescue,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",2020,TV-Y,24 min,Movies,Canada,Michela Luci,Movies
7251,s7252,TV Show,True: Terrific Tales,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",2020,TV-Y,1 Season,Kids' TV,Canada,Michela Luci,Kids' TV
7252,s7253,Movie,True: Tricky Treat Day,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",2019,TV-Y,24 min,Children & Family Movies,Canada,Michela Luci,Children & Family Movies
7253,s7254,Movie,True: Winter Wishes,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",2019,TV-Y,46 min,Children & Family Movies,United States,Michela Luci,Children & Family Movies
7254,s7255,TV Show,True: Wonderful Wishes,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson",2018,TV-Y,1 Season,Kids' TV,United States,Michela Luci,Kids' TV
7255,s7256,Movie,True: Wuzzle Wegg Day,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux",2020,TV-Y,24 min,Children & Family Movies,Canada,Michela Luci,Children & Family Movies
7256,s7257,Movie,Trumbo,"Bryan Cranston, Diane Lane, Elle Fanning, John Goodman, Helen Mirren, Louis C.K., Alan Tudyk, Michael Stuhlbarg, Adewale Akinnuoye-Agbaje, Dean O'Gorman",2015,R,124 min,"Dramas, Independent Movies",United States,Bryan Cranston,Dramas
7257,s7258,TV Show,Trump: An American Dream,Donald Trump,2018,TV-14,1 Season,Docuseries,United Kingdom,Donald Trump,Docuseries
7258,s7259,Movie,Truth or Dare,"Cassandra Scerbo, Brytni Sarpy, Mason Dye, Harvey Guillen, Luke Baines, Ricardo Hoyos, Alexxis Lemire, Christina Masterson, Heather Langenkamp",2017,TV-MA,88 min,Horror Movies,United States,Cassandra Scerbo,Horror Movies
7259,s7260,Movie,Tu Hai Mera Sunday,"Barun Sobti, Shahana Goswami, Vishal Malhotra, Avinash Tiwary, Rasika Dugal, Maanvi Gagroo, Nakul Bhalla, Jay Upadhyay",2016,TV-14,125 min,"Comedies, Independent Movies, International Movies",India,Barun Sobti,Comedies
7260,s7261,TV Show,Tuca & Bertie,"Tiffany Haddish, Ali Wong, Steven Yeun, Nicole Byer, Richard E. Grant, Reggie Watts",2019,TV-MA,1 Season,TV Comedies,United States,Tiffany Haddish,TV Comedies
7261,s7262,Movie,Tucker and Dale vs. Evil,"Tyler Labine, Alan Tudyk, Katrina Bowden, Jesse Moss, Philip Granger, Brandon Jay McLaren, Christie Laing, Chelan Simmons, Travis Nelson, Alex Arsenault",2010,R,89 min,"Comedies, Horror Movies, Independent Movies",Canada,Tyler Labine,Comedies
7262,s7263,Movie,Tukaram,"Jitendra Joshi, Prateeksha Lonkar, Sharad Ponkshe, Radhika Apte, Veena Jamkar, Yatin Karyekar, Smita Tambe, Vrishasen Dabholkar",2012,TV-PG,162 min,"Dramas, Faith & Spirituality, International Movies",India,Jitendra Joshi,Dramas
7263,s7264,Movie,Tum Milo Toh Sahi,"Nana Patekar, Dimple Kapadia, Sunil Shetty, Vidya Malvade, Rehan Khan, Anjana Sukhani, Mohnish Bahl, Vrajesh Hirjee",2010,TV-14,128 min,"Comedies, Dramas, International Movies",India,Nana Patekar,Comedies
7264,s7265,Movie,Tumi or not Tumi,Tumi Morake,2020,TV-MA,72 min,Stand-Up Comedy,United States,Tumi Morake,Stand-Up Comedy
7265,s7266,Movie,TUNA GIRL,"Fuka Koshiba, Tom Fujita, Hidetoshi Hoshida, Hiroto Kanai, Ryosuke Yusa, Shuri Tanaka, Chal Inoue, Takashi Taniguchi, Takeshi Masu",2019,TV-PG,90 min,"Dramas, International Movies",Japan,Fuka Koshiba,Dramas
7266,s7267,TV Show,Tundukkan Playboy Itu,"Hafidz Roshdi, Uqasha Senrose, Alif Satar, Mawar Rashid",2016,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",United States,Hafidz Roshdi,International TV Shows
7267,s7268,Movie,Tune in for Love,"Kim Go-eun, Jung Hae-in, Park Hae-joon, Kim Guk-hee, Jung Eugene, Choi Jun-young, Yoo Yeol, Nam Mun-cheol",2019,TV-MA,123 min,"Dramas, International Movies, Romantic Movies",South Korea,Kim Go-eun,Dramas
7268,s7269,Movie,Tunisian Victory,Burgess Meredith,1944,TV-14,76 min,"Classic Movies, Documentaries",United States,Burgess Meredith,Classic Movies
7269,s7270,TV Show,Tunnel,"Todsapol Maisuk, Johnny Hao, Morakot Liu, Pemy Peramin Thabkaew, Phenphet Phenkul, Sumet Ong-Art, Amarin Nitipon, Tor Techathuwanan, Komsan Kajonpaisansuk",2019,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",United States,Todsapol Maisuk,Crime TV Shows
7270,s7271,Movie,Turbo,"Ben Schwartz, Bill Hader, Luis Guzmán, Snoop Dogg, Paul Giamatti, Ryan Reynolds, Maya Rudolph, Ken Jeong, Samuel L. Jackson, Michael Peña, Michelle Rodriguez, Richard Jenkins, Kurtwood Smith, Luis Guzman",2013,PG,96 min,"Children & Family Movies, Comedies",United States,Ben Schwartz,Children & Family Movies
7271,s7272,TV Show,Turbo FAST,"Reid Scott, John Eric Bentley, Amir Talai, Phil LaMarr, Grey DeLisle, Michael Patrick Bell, Eric Bauza",2016,TV-Y7,3 Seasons,Kids' TV,United States,Reid Scott,Kids' TV
7272,s7273,Movie,Turkish Dance School,"Binnur Kaya, Demet Özdemir, Uraz Kaygılaroğlu, Okan Çabalar, Bora Cengiz, Nergis Öztürk, Berat Yenilmez, Meltem Gülenç, Hakan Salınmış",2017,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",Turkey,Binnur Kaya,Comedies
7273,s7274,TV Show,Turn Up Charlie,"Idris Elba, Piper Perabo, JJ Feild, Frankie Hervey, Guz Khan",2019,TV-MA,1 Season,"British TV Shows, International TV Shows, TV Comedies",United Kingdom,Idris Elba,British TV Shows
7274,s7275,TV Show,TURN: Washington's Spies,"Jamie Bell, Seth Numrich, Daniel Henshall, Heather Lind, Meegan Warner, Kevin McNally, Burn Gorman, Angus Macfadyen, JJ Feild, Samuel Roukin",2017,TV-14,4 Seasons,TV Dramas,United States,Jamie Bell,TV Dramas
7275,s7276,Movie,Tusk,"Michael Parks, Justin Long, Haley Joel Osment, Genesis Rodriguez, Johnny Depp, Harley Morenstein, Ralph Garman, Jennifer Schwalbach",2014,R,102 min,Horror Movies,United States,Michael Parks,Horror Movies
7276,s7277,TV Show,Twelve Forever,"Kelsy Abbott, Antony Del Rio, Jaylen Barron, Matt Berry, Bridget Everett, Brandon Wardell, Steve Agee, Spencer Rothbell, Nick Sumida, Ashley Boettcher, Wade Randolph",2019,TV-PG,1 Season,Kids' TV,United States,Kelsy Abbott,Kids' TV
7277,s7278,Movie,Twice,Stuart Varnam-Atkin,2010,TV-14,53 min,"Documentaries, International Movies",Japan,Stuart Varnam-Atkin,Documentaries
7278,s7279,TV Show,Twice Upon A Time,"Gaspard Ulliel, Freya Mavor",2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",France,Gaspard Ulliel,International TV Shows
7279,s7280,Movie,Twin Murders: the Silence of the White City,"Belén Rueda, Javier Rey, Aura Garrido, Manolo Solo, Alex Brendemühl, Ramón Barea, Sergio Dorado, Allende Blanco, Rubén Ochandiano",2020,TV-MA,110 min,"International Movies, Thrillers",Spain,Belén Rueda,International Movies
7280,s7281,TV Show,Twin Peaks,"Kyle MacLachlan, Michael Ontkean, Mädchen Amick, Dana Ashbrook, Richard Beymer, Lara Flynn Boyle, Sherilyn Fenn, Warren Frost, Peggy Lipton, James Marshall, Everett McGill, Jack Nance, Joan Chen, Kimmy Robertson, Michael Horse, Piper Laurie, Harry Goaz, Eric DaRe, Wendy Robie, Ray Wise, Sheryl Lee, Russ Tamblyn, Don S. Davis, Chris Mulkey, Gary Hershberger, Grace Zabriskie",1990,TV-14,2 Seasons,"Classic & Cult TV, Crime TV Shows, TV Dramas",United States,Kyle MacLachlan,Classic & Cult TV
7281,s7282,Movie,Twins Mission,"Sammo Kam-Bo Hung, Gillian Chung, Charlene Choi, Wu Jing, Yuen Wah, Jess Zhang, Steven Cheung, Lier Qiu, Shek Sau, Sam Lee, Andy Liang",2007,TV-MA,102 min,"Action & Adventure, International Movies",Hong Kong,Sammo Kam-Bo Hung,Action & Adventure
7282,s7283,Movie,Twinsanity,"Karissa Strain, Katie Strain, Yves Bright, Angie Everhart, Thaddeus Shafer, Mary O'Neil",2018,TV-MA,86 min,"Horror Movies, Independent Movies, Thrillers",United States,Karissa Strain,Horror Movies
7283,s7284,TV Show,Twirlywoos,Linda Bassett,2018,TV-Y,2 Seasons,"British TV Shows, Kids' TV",United Kingdom,Linda Bassett,British TV Shows
7284,s7285,Movie,"Twisted Trunk, Big Fat Body","Vijay Maurya, Naman Jain, Usha Nadkarni, Mukesh Chhabra, Prarthana Behere, Jayant Gadekar, Aditi Keskar, Murari Kumar",2015,TV-14,89 min,"Dramas, International Movies",India,Vijay Maurya,Dramas
7286,s7287,TV Show,Two Fathers,"Weber Yang, Lin Yo-Wei, Megan Lai, Amanda Chou, Lucia Xie, Cherry Leung",2013,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Taiwan,Weber Yang,International TV Shows
7287,s7288,Movie,Two Graves,"Cathy Tyson, Katie Jarvis, David Hayman, Josh Herdman, Dave Johns, Danielle Harold, Kedar Williams-Stirling, Neal Ward",2018,TV-MA,80 min,Thrillers,United Kingdom,Cathy Tyson,Thrillers
7288,s7289,Movie,Two Lovers and a Bear,"Dane DeHaan, Tatiana Maslany, Gordon Pinsent, John Ralston",2016,R,95 min,"Dramas, Independent Movies, Romantic Movies",Canada,Dane DeHaan,Dramas
7289,s7290,TV Show,Two Sentence Horror Stories,"Nicole Kang, Jim Parrack, Tara Pacheco, Christopher Shyer, Kimberley Wong, Wai Ching Ho, Greta Quispe, Zaria Degenhardt, Uly Schlesinger, Kate Jennings Grant, Aleyse Shannon, Guillermo Arribas, Jaiden Smith, Pepper Binkley, Mikelle Wright-Matos, Melinda Mo",2019,TV-14,1 Season,"TV Horror, Teen TV Shows",United States,Nicole Kang,TV Horror
7290,s7291,TV Show,Twogether,"Lee Seung-gi, Jasper Liu",2020,TV-G,1 Season,"International TV Shows, Korean TV Shows, Reality TV",South Korea,Lee Seung-gi,International TV Shows
7292,s7293,TV Show,Typewriter,"Aarna Sharma, Aaryansh Malviya, Mikail Gandhi, Palash Kamble, Jishu Sengupta, Palomi Ghosh, Purab Kohli, Sameer Kochhar, Sara Gesawat",2019,TV-MA,1 Season,"International TV Shows, TV Horror, TV Mysteries",India,Aarna Sharma,International TV Shows
7293,s7294,Movie,Tyson,"Mike Tyson, Trevor Berbick",2008,R,90 min,"Documentaries, Sports Movies",United States,Mike Tyson,Documentaries
7294,s7295,Movie,U Turn,"Roger Narayan, Shraddha Srinath, Dileep Raj, Krishna Hebbale, Ram Manjjonaath, Chethan Dsouza",2016,TV-14,121 min,"International Movies, Thrillers",India,Roger Narayan,International Movies
7295,s7296,Movie,U-Turn,"Kim Chiu, JM de Guzman, Tony Labrusca, Martin del Rosario, Kate Alejandrino, Miel Espinoza, Janella Salvador, Cris Villanueva, Almira Muhlach, Cris Villonco, Mercedes Cabral, Jerry O'Hara, Simon Ibarra, Alex Medina, Markus Paterson",2020,TV-MA,99 min,"Horror Movies, International Movies",Philippines,Kim Chiu,Horror Movies
7296,s7297,Movie,Udaan,"Rajat Barmecha, Ronit Roy, Ram Kapoor, Aayan Boradia, Manjot Singh, Anand Tiwari, Raja Hudda, Shaunak Sengupta, Varun Khettry, Akshay Sachdev",2010,TV-MA,137 min,"Dramas, Independent Movies, International Movies",India,Rajat Barmecha,Dramas
7297,s7298,Movie,Udta Punjab,"Shahid Kapoor, Kareena Kapoor, Alia Bhatt, Diljit Dosanjh, Satish Kaushik, Suhail Nayyar, Prabhjyot Singh, Harpreet Singh, Manav Vij, Taran Bajaj",2016,TV-MA,146 min,"Dramas, International Movies",India,Shahid Kapoor,Dramas
7298,s7299,Movie,Ugly,"Rahul Bhat, Ronit Roy, Tejaswini Kolhapure, Vineet Kumar Singh, Surveen Chawla, Siddhant Kapoor, Girish Kulkarni, Abir Goswami, Madhavi Singh, Anshikaa Shrivastava, Murari Kumar, Sandesh Jadhav",2013,NR,125 min,"Dramas, International Movies, Thrillers",India,Rahul Bhat,Dramas
7299,s7300,Movie,Ugly Aur Pagli,"Mallika Sherawat, Ranvir Shorey, Tinnu Anand, Sushmita Mukherjee, Manish Anand, Vihang Nayak, Bharati Achrekar, Zeenat Aman",2008,TV-14,115 min,"Comedies, International Movies, Romantic Movies",India,Mallika Sherawat,Comedies
7300,s7301,TV Show,Ugly Delicious,"David Chang, Peter Meehan",2020,TV-MA,2 Seasons,Docuseries,United States,David Chang,Docuseries
7301,s7302,TV Show,Ugly Duckling,"Mook Worranit Thawornwong, Puttichai Kasetsin, Natcha Juntapan, Neen Suwanamas, Esther Supreeleela, Shaun Jindachote, Lapassalal Jiravechsoontornkul, Chatchawit Techarukpong",2015,TV-14,4 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas",Thailand,Mook Worranit Thawornwong,International TV Shows
7302,s7303,Movie,Ujala,"Mala Sinha, Shammi Kapoor, Raaj Kumar, Leela Chitnis, Dhumal, Kumkum",1959,TV-14,143 min,"Dramas, International Movies",India,Mala Sinha,Dramas
7303,s7304,TV Show,Ultimate Beastmaster,"Tiki Barber, Chris Distefano, Francesco Facchinetti, Bianca Balti, Vidyut Jammwal, Sarah-Jane Dias, BIn Gu, Qinyi Du, Paula Vázquez, Saúl Craviotto, Gilles Marini, Sandy Heribert, Terry Crews, Charissa Thompson, Yuji Kondo, Sayaka Akimoto, Luke Mockridge, Hans Sarpei, Kyung-seok Seo, Kyeong-rim Park, Luis Ernesto Franco, Inés Sainz, Rafinha Bastos, Anderson Silva, Sylvester Stallone",2018,TV-PG,3 Seasons,Reality TV,United States,Tiki Barber,Reality TV
7304,s7305,TV Show,Ultimate Beastmaster México,"Luis Ernesto Franco, Inés Sainz, Tiki Barber, Chris Distefano, Francesco Facchinetti, Bianca Balti, Vidyut Jammwal, Sarah-Jane Dias, BIn Gu, Qinyi Du, Paula Vázquez, Saúl Craviotto, Gilles Marini, Sandy Heribert, Terry Crews, Charissa Thompson, Yuji Kondo, Sayaka Akimoto, Luke Mockridge, Hans Sarpei, Kyung-seok Seo, Kyeong-rim Park, Rafinha Bastos, Anderson Silva, Sylvester Stallone",2018,TV-PG,3 Seasons,"Reality TV, Spanish-Language TV Shows",United States,Luis Ernesto Franco,Reality TV
7305,s7306,TV Show,Ultraman,"Ryohei Kimura, Takuya Eguchi, Megumi Han, Hideyuki Tanaka, Sumire Morohoshi, Ken Uo, Shigeru Ushiyama, Ryota Takeuchi, Eiji Hanawa, Hirokazu Sekido, Minoru Shiraishi, Kenjiro Tsuda, Hiroaki Hirata, Kaiji Soze",2019,TV-14,1 Season,"Anime Series, International TV Shows",United States,Ryohei Kimura,Anime Series
7306,s7307,TV Show,Ultramarine Magmell,"Kengo Kawanishi, M・A・O, Toshiyuki Morikawa, Hibiku Yamamura, Satoshi Mikami, Koji Yusa, Hiroshi Yanaka, Shiro Saito, Keiichi Sonobe",2019,TV-14,1 Season,"Anime Series, International TV Shows",Japan,Kengo Kawanishi,Anime Series
7307,s7308,Movie,Ultras,"Aniello Arena, Antonia Truppo, Ciro Nacca, Simone Borelli, Daniele Vicorito, Salvatore Pelliccia",2020,TV-MA,109 min,"Dramas, International Movies, Sports Movies",Italy,Aniello Arena,Dramas
7308,s7309,TV Show,Ultraviolet,"Marta Nieradkiewicz, Sebastian Fabijański, Agata Kulesza, Bartłomiej Topa, Magdalena Czerwińska, Michał Żurawski, Marek Kalita, Paulina Chapko, Karolina Chapko, Viet Anh Do",2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Poland,Marta Nieradkiewicz,Crime TV Shows
7309,s7310,Movie,Uma Maheswara Ugra Roopasya,"Satya Dev, VK Naresh, Raghavan, Suhas P, Ravindra Vijay, Chandana Koppisetti, Roopa Koduvayur, Kushalini Pulapa",2020,TV-MA,137 min,"Comedies, Dramas, Independent Movies",India,Satya Dev,Comedies
7310,s7311,Movie,Umrika,"Suraj Sharma, Tony Revolori, Smita Tambe, Adil Hussain, Rajesh Tailang, Prateik Babbar, Pramod Pathak, Amit Sial, Sauraseni Maitra",2015,TV-MA,96 min,"Dramas, Independent Movies, International Movies",India,Suraj Sharma,Dramas
7311,s7312,Movie,Un plus une,"Jean Dujardin, Elsa Zylberstein, Christopher Lambert, Alice Pol, Rahul Vohra, Shriya Pilgaonkar, Abhishek Krishnan, Venantino Venantini, Amma, Kalki Koechlin",2015,TV-MA,114 min,"Comedies, Dramas, International Movies",France,Jean Dujardin,Comedies
7312,s7313,Movie,Una,"Rooney Mara, Ben Mendelsohn, Riz Ahmed, Ruby Stokes, Natasha Little, Tara Fitzgerald, Tobias Menzies",2016,R,94 min,"Dramas, International Movies",United Kingdom,Rooney Mara,Dramas
7313,s7314,TV Show,Unabomber - In His Own Words,Ted Kaczynski,2018,TV-MA,1 Season,"Crime TV Shows, Docuseries",Canada,Ted Kaczynski,Crime TV Shows
